Business Name,Overall Status,Total Approvals,Total Declines,Best Lender,Best Funding Amount,Best Factor Rate,Best Term,Best Payment Freq,Best Commission,Best Date,Lender 2,Funding Amount 2,Factor Rate 2,Commission 2,Lender 3,Funding Amount 3,Factor Rate 3,Commission 3,Lender 4,Funding Amount 4,Factor Rate 4,Commission 4,Lender 5,Funding Amount 5,Factor Rate 5,Commission 5,Declined Lender 1,Decline Reason 1,Declined Lender 2,Decline Reason 2,Declined Lender 3,Decline Reason 3,Declined Lender 4,Decline Reason 4,Declined Lender 5,Decline Reason 5
THE PLUG T-SHIRT STORE LLC,Approved,2,3,Clear Fund / Lite Fund,30000,,,Daily,16.00 pts,2026-01-07,Fuji,16000,1.499,,,,,,,,,,,,,,I Got Funded,- Low Real Revenue; Low Real Revenue,Bizpoint,limited credit,Super Fast Cap,Reason; Low Revenue,,,,
CREOS FOODS INC,Approved,2,0,Clear Fund / Lite Fund,22500,,70,Daily,9.75 pts,2025-11-11,River Advance,15000,1.499,12 pts,,,,,,,,,,,,,,,,,,,,,,
KRAKA-JAK CLEANING AND RESTORATION,Approved,1,1,Clear Fund / Lite Fund,22500,,,Daily,7 pts,2025-10-06,,,,,,,,,,,,,,,,,Fox,No Room,,,,,,,,
BOULDER PHO,Approved,1,0,Fuji,20000,1.499,100,,,2025-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,
TRINITY LIMITED LLC,Approved,1,3,Smarter Merchant,20000,1.45,120,,0.12 pts,2025-11-17,,,,,,,,,,,,,,,,,American Financial Center,owes enough based on revenue,Likety,not meeting min revenue.  Will advise shortly.,Silverline Funding,low revenue.; Low Revenue,,,,
BRENCON COMPANIES INC,Approved,1,1,Fuji,18000,1.499,90,,,2025-11-13,,,,,,,,,,,,,,,,,American Financial Center,we do not fund this industry; Industry,,,,,,,,
M LINK WIRELESS LLC,Approved,1,1,Fuji,16000,1.499,100,,,2026-01-14,,,,,,,,,,,,,,,,,I Got Funded,- Bad Balances; Bad Balances,,,,,,,,
PRESTIGE CLEANING INC,Approved,1,0,Fuji,11000,1.499,80,,,2025-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRE DELI GROCERY CORP,Approved,1,1,Fuji,10000,1.499,60,,,2025-10-24,,,,,,,,,,,,,,,,,Bizpoint,TOO MANY NEG DAYS - JULY (5) JUNE (10) AUG (5),,,,,,,,
PAULIE V & ANGELA L LLC,Approved,1,0,Top Choice Financial,10000,1.48,10 month,Weekly,10 pts,2025-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,
STOOPS INSURANCE AND FINANCIAL SERVICES INC,Approved,1,0,Fuji,10000,1.499,60,,,2025-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,
JESSE MENDOZA,Approved,1,0,Fuji,8000,1.99,15,,,2025-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,
LAUNDRY DAY LLC,Approved,1,2,Fuji,8000,1.499,70,,,2025-12-11,,,,,,,,,,,,,,,,,Bizpoint,decisions were made based on the information provided by the Independent Sales Organization (ISO). T; DROP IN REVENUE.; Drop in Revenue,Clear Fund / Lite Fund,Low revenue; Low Revenue,,,,,,
ARCTIC ENTERPRISES LLC,Approved,1,1,Silverline Funding,7520,,,,,2025-12-30,,,,,,,,,,,,,,,,,DLP,Default; Time In Business,,,,,,,,
45 CC RD,Approved,2,0,Fuji,5000,1.499,60,,,2025-10-28,River Advance,11,,,,,,,,,,,,,,,,,,,,,,,,
A+ PROFESSIONAL PAINTING,Declined Only,0,2,,,,,,,,,,,,,,,,,,,,,,,,Bizpoint,LESS THAN 1 YEAR IN BUSINESS; Less Than 1 Year In Business,Fintegra,Time In Business,,,,,,
AB4 VENTURES LLC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,I Got Funded,Default (Stopped Payment on Fundomate); Default,,,,,,,,
AM DIVERSIFIED SERVICES LLC,Declined Only,0,2,,,,,,,,,,,,,,,,,,,,,,,,Bizpoint,decisions were made based on the information provided by the Independent Sales Organization (ISO). T,Likety,less than 1yr in biz.,,,,,,
AMERICAN GREEN BUILDING SERVICES INC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Fundworks,Industry,,,,,,,,
AUTO LUBE AND ESPRESSO INC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,DLP,Default; Time In Business,,,,,,,,
BOND TRANSPORT LLC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,American Financial Center,revenue is too low to fund,,,,,,,,
CIGAR HEAVEN INC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Bizpoint,MERCHANT HAS A DEAL WITH DEBT SETTLEMENT COMPANY - 07/30 CCS8887733199,,,,,,,,
CLUBRAY INC,Declined Only,0,2,,,,,,,,,,,,,,,,,,,,,,,,American Financial Center,no business credit/ no online presence / cannot location business in SOS,Fintegra,Credit Score,,,,,,
COMFORT MASTERS HVAC LLC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Fundworks,Default; Industry,,,,,,,,
CONCORD EARLY LEARNING CENTER,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Fintegra,Default,,,,,,,,
DAVID H CUMMINGS TRUCKING,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,American Financial Center,excessive stacking relative to minimal monthly revenue; Stacking,,,,,,,,
DEEP SOUTH CONTROLS,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,I Got Funded,Low True Revenue & Cash Flow Net Negative,,,,,,,,
DENIS CLEANING SERVICE,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,I Got Funded,- Low Collectability,,,,,,,,
ELEMENTALE ENTERPRISES INC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Bizpoint,decisions were made based on the information provided by the Independent Sales Organization (ISO). T,,,,,,,,
EMBRACE CHILD CARE CENTER LLC,Declined Only,0,2,,,,,,,,,,,,,,,,,,,,,,,,Super Fast Cap,Reason; Low Revenue,I Got Funded,- Low Revenue; Low Revenue,,,,,,
FANCYFREE LLC,Declined Only,0,2,,,,,,,,,,,,,,,,,,,,,,,,Specialty Capital,details for FancyFree LLC.; Stacking,Revenued,"in volume, the Revenued sub is",,,,,,
FC PROMOTIONS LLC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Bizpoint,decisions were made based on the information provided by the Independent Sales Organization (ISO). T,,,,,,,,
G DYNASTY LLC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Bizpoint,decisions were made based on the information provided by the Independent Sales Organization (ISO). T,,,,,,,,
GALAXY TIMBER INC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Clear Fund / Lite Fund,MCA Default; Default,,,,,,,,
GARBAGE WE HAUL,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Clear Fund / Lite Fund,Merchant just got funded their 1st position - we need a month of payment,,,,,,,,
GOGI HOUSE,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Fundworks,Default,,,,,,,,
GOODING DISPOSAL,Declined Only,0,2,,,,,,,,,,,,,,,,,,,,,,,,Radiance Funding,Entity Type (Sole Prop),Pearl Cash,Entity Type (Sole Prop).; Entity Type (Sole Prop),,,,,,
HMP DESIGNS,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,DLP,Default; Time In Business,,,,,,,,
HORN RAPIDS RV SERVICE & SALES INC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,TVT Capital,auto sales deal less than 500k.,,,,,,,,
JG AUTO LLC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Bizpoint,RECENTLY IN CONSOLIDATION WITH GFE. WE DONT FUND BEHIND UNTILL BALANCE IS PAID IN FULL.; RECENTLY IN CONSOLIDATION WITH GFE. WE DONT FUND BEHIND UNTILL BALANCE IS PAID IN,,,,,,,,
JOE THE BUILDER,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,American Financial Center,stacking; Stacking,,,,,,,,
JUMP N FUN INFLATABLES,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Revenued,Entity Type (Sole Prop).; Entity Type (Sole Prop),,,,,,,,
LUX3 NAILS SPA LLC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,BHB Funding,details for Lux3 Nails Spa LLC; Industry,,,,,,,,
MAHD HOUSE BAR & GRILLE,Declined Only,0,2,,,,,,,,,,,,,,,,,,,,,,,,I Got Funded,- Shaky Balances; Shaky Balances,Bizpoint,13 neg days in oct,,,,,,
MCC PLUS INC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Bizpoint,decisions were made based on the information provided by the Independent Sales Organization (ISO). T,,,,,,,,
MOORE PAINTING LLC,Declined Only,0,2,,,,,,,,,,,,,,,,,,,,,,,,Bizpoint,decisions were made based on the information provided by the Independent Sales Organization (ISO). T; LOW CREDIT SCORE – 596; Low Credit Score,I Got Funded,Low Revenue,,,,,,
NEULINE HEALTH MANAGEMENT LLC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Bizpoint,DATAMERCH.; Default Account; Default,,,,,,,,
PANKRATZ TRUCKING LLC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Bizpoint,Too Many Positions; Industry,,,,,,,,
PIRANHA ENERGY LLC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Bizpoint,POOR CREDIT,,,,,,,,
PLATINUM TOWING AND TRANSPORT LLC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,American Financial Center,default history; Default,,,,,,,,
RAHAB ADULT FAMILY HOME LLC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Fundworks,Default,,,,,,,,
REAL SERVICE LLC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Bizpoint,decisions were made based on the information provided by the Independent Sales Organization (ISO). T,,,,,,,,
SUNDANCE POOL AND SPA SERVICE INC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Clear Fund / Lite Fund,Low revenue; Low Revenue,,,,,,,,
THE VESPER KITCHEN + BAR,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,I Got Funded,- Bouncing on Positions; Bouncing on Positions,,,,,,,,
TITANIUM COMPUTING LLC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Bizpoint,decisions were made based on the information provided by the Independent Sales Organization (ISO). T,,,,,,,,
TOP RANK HEATING & AIR CONDITIONING INC,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,I Got Funded,Default,,,,,,,,
TOTAL BY VERIZON,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Pearl Cash,Low Daily Balances.,,,,,,,,
VALLEY FOOT CLINIC PROFESSIONAL,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Fintegra,Entity Type (Sole Prop),,,,,,,,
VETERAN SECURITY,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Bizpoint,poor credit,,,,,,,,
VICTORIO'S RISTORANTE,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Bizpoint,WE DON’T ACCEPT SOLE PROP ACC; Entity Type (Sole Prop),,,,,,,,
WAJE CLEANING SERVICES INC,Declined Only,0,2,,,,,,,,,,,,,,,,,,,,,,,,Bizpoint,DATAMERCH,Super Fast Cap,Reason; Default,,,,,,
WARRIORS LIVE,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Bizpoint,poor credit,,,,,,,,
WESTIN & CLARK LAND BANKING,Declined Only,0,1,,,,,,,,,,,,,,,,,,,,,,,,Pearl Cash,Withhold % too high.,,,,,,,,
